block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,total_block_fees,proposer,timestamp,sign_ratio,community_tax,min_proposer_bonus,max_proposer_bonus,inflation_rate,v_commission,commission_amt,total_supply,atom_staked_v,percent_staked,n_validators,commission
12788312,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,ddqzFvTKE2f1MqtxqAt/plq2kDk=,2022-11-10T07:43:10.919220263Z,1.0,0.02,0.01,0.04,0.1315112237100762,20.0,986149246.7682078,315450632493110,15658138.732106,64.49,175,
12788313,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,bXAfpZUyaI3xa6+VIRN+jBTLsxY=,2022-11-10T07:43:17.535448482Z,1.0,0.02,0.01,0.04,0.1315112322911409,20.0,986285679.293862,315450642008087,15658138.732106,64.49,175,20.0
12788314,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,Wlnch0b9cn/d1cv1y7kMb2Fsz5s=,2022-11-10T07:43:24.334906075Z,1.0,0.02,0.01,0.04,0.1315112408722122,20.0,986421962.751966,315450651523065,15658138.732106,64.49,175,20.0
12788315,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,6AB0DGjIGzA0XDriumOPpW/2fu8=,2022-11-10T07:43:30.917354985Z,1.0,0.02,0.01,0.04,0.1315112494532793,20.0,986558495.284528,315450661038044,15658138.732106,64.49,175,20.0
12788316,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,rC1WBXzYR2Xm++MYl5CT6ORKoY8=,2022-11-10T07:43:37.529435648Z,1.0,0.02,0.01,0.04,0.1315112666154334,20.0,986831272.4990988,315450680068005,15658138.732106,64.49,175,20.0
12788317,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,2mqqqVnJ74ij6zex8QfLJmfruqs=,2022-11-10T07:43:43.697345407Z,0.9942857142857144,0.02,0.01,0.04,0.1315112666154334,20.0,986831272.4990988,315450680068005,15658138.732106,64.49,175,20.0
12788318,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,7VCeeAl+EwapH+3o6Ft10Gvd9uM=,2022-11-10T07:43:46.048780396Z,1.0,0.02,0.01,0.04,0.1315112751961406,20.0,986967527.4040116,315450689582986,15658138.732106,64.49,175,20.0
12788319,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,nPiuH9UH+XoFQlBYL/5SkiyNNwU=,2022-11-10T07:43:52.436288989Z,0.9942857142857144,0.02,0.01,0.04,0.1315112837765225,20.0,987103841.1600392,315450699097968,15658138.732106,64.49,175,20.0
12788320,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,Z5uJeFlzvpTU/fi2b4SpKZMukcU=,2022-11-10T07:43:58.949843058Z,1.0,0.02,0.01,0.04,0.1315112923569104,20.0,987240266.113397,315450708612951,15658138.732106,64.49,175,20.0
12788321,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,0tRY+SCey4yiqrHZngZhG4Eqh5c=,2022-11-10T07:44:05.316051824Z,1.0,0.02,0.01,0.04,0.1315113009372947,20.0,987376584.5548276,315450718127935,15658138.732106,64.49,175,20.0
12788322,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,1o7sDS6CSPHsZM21he22HspDK9g=,2022-11-10T07:44:11.552185129Z,1.0,0.02,0.01,0.04,0.1315113095176748,20.0,987512933.8883872,315450727642920,15658138.732106,64.49,175,20.0
12788323,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,0UpULodWw6lC2f2Ic9wumneYoX8=,2022-11-10T07:44:17.939852077Z,1.0,0.02,0.01,0.04,0.1315113180980615,20.0,987744483.2867188,315450737157906,15658138.732106,64.49,175,20.0
12788324,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,sBVSUtc7fut00qjMgUOX5mlwqDk=,2022-11-10T07:44:24.396930510Z,1.0,0.02,0.01,0.04,0.1315113266784549,20.0,987880730.6240972,315450746672893,15658138.732106,64.49,175,20.0
12788325,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,9Zc0qJanaJQ2vDQiJE/YYq4YnFw=,2022-11-10T07:44:30.872596326Z,1.0,0.02,0.01,0.04,0.1315113352588393,20.0,988017122.5334624,315450756187881,15658138.732106,64.49,175,20.0
12788326,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,HO0wcz0WJciatphndgbQ43s2dqk=,2022-11-10T07:44:37.675631321Z,1.0,0.02,0.01,0.04,0.1315113438392247,20.0,988153578.9769914,315450765702870,15658138.732106,64.49,175,20.0
12788327,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,Fw/v1tf0ppqucKJEFfxOLJKN4uU=,2022-11-10T07:44:44.074145681Z,1.0,0.02,0.01,0.04,0.1315113524196162,20.0,988290177.7928392,315450775217860,15658138.732106,64.49,175,20.0
12788328,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,g/R9d0ew9jOmug30m33PYfkKobA=,2022-11-10T07:44:50.350137789Z,0.9942857142857144,0.02,0.01,0.04,0.1315113610000017,20.0,988426770.9033264,315450784732851,15658138.732106,64.49,175,20.0
